"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2005-0585-JAM","Hurricane ""Wilma""","Jamaica","Latin America and the Caribbean","Saint Thomas, Saint Catherine, Trelawny, Saint Andrew And Kingston provinces",2005,5.461
"2005-0585-MEX","Hurricane ""Wilma""","Mexico","Latin America and the Caribbean","Benito Juarez, Isla Mujeres, Cozumel districts (Quintana Roo province)",2005,7801.196
"2005-0585-USA","Hurricane ""Wilma""","United States of America","Northern America","Florida Keys, Naples areas (Collier district, Florida province)",2005,22311.419
"2005-0597-DOM","Alpha","Dominican Republic","Latin America and the Caribbean","Puerto Plata province",2005,NA
"2005-0597-HTI","Alpha","Haiti","Latin America and the Caribbean","Dame Marie, Les Irois villages (Anse-D'Ainault district, Grande Anse province), Carrefour, Gressier, Port-au-Prince villages (Port-Au-Prince district, Ouest province), Leogane district (Ouest province), Anse à Pitre village (Belle Anse district, Sud Est province), Jacmel district (Sud Est province), Anse Rouge village (Gros Morne district, Artibonite province), Hinche district (Centre province)",2005,NA
"2005-0625-COL","Beta","Colombia","Latin America and the Caribbean","Providencia Isl. (Santa Catalina, Santa Catarina districts, San Andres y Providencia province), San Andres Isl. (San Andres y Providencia district, San Andres y Providencia province)",2005,NA
"2005-0625-HND","Beta","Honduras","Latin America and the Caribbean","Gracias A Dios, Atlantida, Colon provinces",2005,NA
"2005-0625-NIC","Beta","Nicaragua","Latin America and the Caribbean","San José de Bocay village (El Cua district, Jinotega province), Wiwili district (Jinotega province), Waspam district (Atlantio Norte province)",2005,NA
"2005-0640-BLZ","Gamma","Belize","Latin America and the Caribbean","Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces",2005,NA
"2005-0640-HND","Gamma","Honduras","Latin America and the Caribbean","Atlantida, Colon, Cortes, Gracias A Dios, Yoro provinces",2005,24.184
"2005-0732-SLV","Adrian","El Salvador","Latin America and the Caribbean","Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",2005,NA
"2006-0272-CUB","Alberto","Cuba","Latin America and the Caribbean","Nueva Paz district (La Habana province)",2006,NA
"2006-0466-HTI","Ernesto","Haiti","Latin America and the Caribbean","Sud, Grande Anse, Ouest, Nippes, Artibonite provinces",2006,NA
"2006-0466-USA","Ernesto","United States of America","Northern America","South Carolina, North Carolina, Virginia provinces",2006,49.667
"2006-0483-MEX","John","Mexico","Latin America and the Caribbean","Comondu, La Paz districts (Baja California Sur province)",2006,NA
"2006-0505-MEX","Lane","Mexico","Latin America and the Caribbean","Culiacan, Elota, Mazatlan, Escuinapa, El Rosario, San Ignacio, Salvador Alvarado, Concordia, Cosala districts (Sinaloa province)",2006,4.081
"2006-0604-MEX","Paul","Mexico","Latin America and the Caribbean","La Reforma area (Culiacan district, Sinaloa province)",2006,NA
"2007-0359-USA","Erin","United States of America","Northern America","Texas, Oklahoma, Missouri provinces",2007,364.45
"2007-0360-BLZ","Dean","Belize","Latin America and the Caribbean","Corozal, Sarteneja, Consejo cities (Corazal province)",2007,21.819
"2007-0360-CUB","Dean","Cuba","Latin America and the Caribbean","Pinar del Rio, La Habana, Isla de la Juventud provinces",2007,NA
"2007-0360-DMA","Dean","Dominica","Latin America and the Caribbean","St. Andrew, St. David, St. George, St. John, St. Joseph, St. Luke, St. Mark, St. Patrick, St. Paul, St. Peter provinces",2007,29.391
"2007-0360-DOM","Dean","Dominican Republic","Latin America and the Caribbean","Azua, Barahona, Distrito Nacional, La Altagracia, La Romana, Pedernales, Peravia, San Cristobal, San Pedro de Macoris, Santiago, Santo Domingo provinces",2007,58.782
"2007-0360-GLP","Dean","Guadeloupe","Latin America and the Caribbean",NA,2007,440.867
"2007-0360-HTI","Dean","Haiti","Latin America and the Caribbean","Sud, Sud Est, Grande Anse, Nippes, Ouest, Artibonite, Centre, Nord, Nord Est, Nord Ouest provinces",2007,NA
